"restaurant name",city,cuisines,"aggregate rating",cost
"Zaz暲 Bistr灼 Tropical","Rio de Janeiro",Brazilian,4.6,32.30
"Fil刺 de Ouro","Rio de Janeiro",Brazilian,4.3,17.10
"D.O.C Ristorante","Rio de Janeiro",Italian,4,28.50
"Sushi Leblon","Rio de Janeiro",Japanese,4.6,47.50
"Talho Capixaba","Rio de Janeiro","Bakery, Sandwich, Brazilian",4.4,22.80
"Leme Light","Rio de Janeiro",Brazilian,4.2,7.60
Shirley,"Rio de Janeiro","Brazilian, Seafood",4.2,47.50
"Quiosque Chopp Brahma","Rio de Janeiro","Bar Food, Brazilian",0,13.30
Apraz?vel,"Rio de Janeiro",Brazilian,4.7,57.00
"Aconchego Carioca","Rio de Janeiro","Brazilian, Bar Food",4.6,16.15
"Garota de Ipanema","Rio de Janeiro","Brazilian, Bar Food",4.3,15.20
"Cantina Famiglia Mancini","S粒o Paulo","Italian, Pizza",4.5,47.50
"Templo da Carne - Marcos Bassi","S粒o Paulo","Steak, BBQ",4.4,47.50
"Gopala Hari","S粒o Paulo",Indian,3.1,13.30
Jiquitaia,"S粒o Paulo",Brazilian,4.1,19.00
"Skye - Hotel Unique","S粒o Paulo","Beverages, International",4.8,57.00
"Les 3 Brasseurs","S粒o Paulo","French, Brazilian, Beverages",4.6,22.80
"Red Steak & Burger","S粒o Paulo","Brazilian, Grill",3.9,14.25
"Cantinho da Gula","S粒o Paulo",Brazilian,0,10.45
"Paris 6 Classique","S粒o Paulo",French,3.4,38.00
"Kawa Sushi","S粒o Paulo","Sushi, Japanese",3.5,22.80
"A Figueira Rubaiyat","S粒o Paulo","BBQ, Grill, Brazilian",4.3,57.00
Kinoshita,"S粒o Paulo",Sushi,3.9,43.70
Meats,"S粒o Paulo","Gourmet Fast Food, Burger",4.3,22.80
Paribar,"S粒o Paulo","Brazilian, Italian",4.3,28.50
"Terra?o It暲lia","S粒o Paulo",Italian,4.4,76.00
"Divino Fog粒o","S粒o Paulo","Brazilian, Mineira",0,12.35
"Super Grill","S粒o Paulo",Brazilian,0,9.50
"Esquina Mocot?","S粒o Paulo","Brazilian, North Eastern",4.4,19.00
Veloso,"S粒o Paulo","Brazilian, Bar Food, Beverages",4.6,13.30
"Sainte Marie Gastronomia","S粒o Paulo","Lebanese, Arabian",4.1,22.80
"Austin's BBQ and Oyster Bar",Albany,"BBQ, Burger, Seafood",3.3,25
"BJ's Country Buffet",Albany,"American, BBQ",3.3,10
"Cookie Shoppe",Albany,,3.4,0
"El Vaquero Mexican Restaurant",Albany,Mexican,3.4,0
"Elements Coffee Co - Northwest",Albany,"Coffee and Tea, Sandwich",3.4,10
"Pearly's Famous Country Cookng",Albany,,3.4,0
Chick-fil-A,Albany,"Fast Food",3.5,10
"Guang Zhou Chinese Restaurant",Albany,"Asian, Chinese, Vegetarian",3.9,10
"Harvest Moon",Albany,"Pizza, Bar Food, Sandwich",3.7,25
"Henry Campbell's Steakhouse",Albany,"Steak, Tapas, Bar Food",3.5,70
"Hong Kong Cafe",Albany,"Chinese, Seafood, Vegetarian",3.6,25
"House of China Restaurant II",Albany,Chinese,3.8,10
"Jimmie's Hot Dogs",Albany,,3.9,10
"Locos Grill & Pub",Albany,"American, Burger, Sandwich",3.5,25
"Longhorn Steakhouse",Albany,"American, Steak",3.5,25
"Mikata Japanese Steakhouse",Albany,"Japanese, Steak, Sushi",3.6,40
"Shogun Japanese Steak House",Albany,"Japanese, Steak, Sushi",3.5,40
"The Catch Seafood Room & Oyster Bar",Albany,"Seafood, Tapas, Bar Food",3.8,40
"Villa Gargano",Albany,"Italian, Pizza",3.7,10
"3 Squares Diner",Albany,"American, Breakfast, Diner",3.4,10
"Whitebull Hotel",Armidale,"Bar Food, Steak",3.5,20
"Last Resort Grill",Athens,"American, Southern, Southwestern",4.5,40
"Mama's Boy Restaurant",Athens,Southern,4.5,10
"Sr. Sol 1",Athens,Mexican,4.6,10
"Choo Choo Eastside",Athens,"Japanese, Korean",3.9,10
"The Grill",Athens,"Breakfast, Burger, Sandwich",3.7,10
"Big City Bread Cafe",Athens,"Breakfast, Sandwich",4.3,10
Clocked,Athens,"American, Burger, Sandwich",4.2,10
"DePalma's Italian Cafe - Downtown",Athens,"American, Italian, Pizza",4,25
"DePalma's Italian Cafe - East Side",Athens,"American, Italian, Pizza",4.1,25
"Five & Ten",Athens,American,4.3,40
Grit,Athens,"International, Southern, Vegetarian",4.2,10
"Ike & Jane",Athens,Sandwich,4.1,10
"La Dolce Vita Ristorante",Athens,Italian,4.1,40
Shokitini,Athens,"Asian, Japanese, Sushi",4.2,25
"Taqueria Del Sol",Athens,"Mexican, Spanish",4.1,10
"The National",Athens,"International, Southern",4.1,40
"The Royal Peasant",Athens,"Bar Food",4.4,10
Transmetropolitan,Athens,"Italian, Pizza, Sandwich",4.4,10
"Trappeze Pub",Athens,"Burger, Bar Food",4.2,25
"Viva! Argentine Cuisine",Athens,"Desserts, Latin American, Argentine",4.1,10
"Miyabi Kyoto Japanese Steak House",Augusta,"Chinese, Steak",4.6,40
"Rae's Coastal Cafe",Augusta,"American, Caribbean, Seafood",4.9,40
"The Bee's Knees",Augusta,"International, Tapas, Vegetarian",4.5,25
"Boll Weevil Cafe",Augusta,"Desserts, Sandwich, Southern",3.9,10
"Farmhaus Burger",Augusta,"American, Burger",3.9,25
"Manuel's Bread Cafe",Augusta,"Breakfast, French",3.8,40
"Sconyers Bar B Que",Augusta,BBQ,3.5,25
"Frog Hollow Tavern",Augusta,American,4.3,40
"Giuseppe's Pizza & Italian Specialities",Augusta,"Desserts, Italian, Pizza",4.1,25
"Mellow Mushroom",Augusta,"Italian, Pizza, Sandwich",4.4,25
"Nacho Mamas Burritos",Augusta,Mexican,4,10
"Rhinehart's Oyster Bar",Augusta,"Bar Food, Sandwich, Seafood",4,25
Takosushi,Augusta,"Mexican, Southwestern, Sushi",4.2,40
"The Chop House",Augusta,Steak,4,40
"The Taj of India",Augusta,Indian,4,25
"Augsburg Haus",Augusta,German,3.9,25
"Pho Bac",Augusta,Vietnamese,4.1,10
"Rhinehart's Oyster Bar",Augusta,"Burger, Seafood",4,25
"Thai Kitchen",Augusta,Thai,4.3,35
"El Kiosco Mexican Restaurant",Augusta,Mexican,4.2,10
"Taste of Balingup",Balingup,"Modern Australian",3.2,20
"Bridge Road Brewers",Beechworth,"Pizza, Bar Food",4.6,20
Bardenay,Boise,"American, Bar Food",4.5,25
"Flatbread Neapolitan Pizzeria",Boise,"Italian, Pizza",4.6,25
"Goldy's Breakfast Bistro",Boise,"Breakfast, Sandwich",4.5,25
"Chandlers Steakhouse",Boise,"American, Seafood, Steak",3.9,70
"Bar Gernika Basque Pub & Eatery",Boise,"European, Spanish",4.3,10
"Barbacoa Restaurant",Boise,"Latin American, Steak",4.1,70
"Big Jud's",Boise,"American, Burger, Sandwich",4.2,10
"Bittercreek Ale House",Boise,"American, Bar Food",4.3,25
"Boise Fry Company",Boise,"American, Burger",4.4,10
"Flying Pie Pizzaria",Boise,Pizza,4.1,25
Fork,Boise,"American, Burger",4.4,25
"Guido's Original New York Style Pizza",Boise,Pizza,4.3,10
"Los Beto's",Boise,Mexican,4.4,10
"Lucianos Italian Restaurant",Boise,"Italian, Seafood, Vegetarian",4.4,25
"Mai Thai Restaurant",Boise,"Sushi, Thai",4,40
"Shige Japanese Cuisine",Boise,"Japanese, Sushi, Teriyaki",4.1,25
"The Egg Factory",Boise,Breakfast,4.3,10
Tucanos,Boise,Brazilian,4,40
"Texas Roadhouse",Boise,"American, BBQ, Steak",4,25
"Brick 29",Boise,American,4.4,40
Winifreds,"Cedar Rapids/Iowa City","American, Mediterranean, Seafood",3.7,40
"Biaggi's Ristorante Italiano","Cedar Rapids/Iowa City","Italian, Pizza",4.1,40
"El Super Burrito","Cedar Rapids/Iowa City",Mexican,4.1,10
"Granite City Food & Brewery","Cedar Rapids/Iowa City","American, Breakfast, Burger",4.1,40
"Irish Democrat","Cedar Rapids/Iowa City","American, BBQ, Burger",4.4,25
"Taste of India","Cedar Rapids/Iowa City",Indian,4.2,25
"Thai Moon Restaurant","Cedar Rapids/Iowa City","Chinese, Sushi, Thai",4.2,10
"Ting's Red Lantern","Cedar Rapids/Iowa City",Chinese,4.2,10
Monica's,"Cedar Rapids/Iowa City","American, Italian, Pizza",3.8,25
"Exotic India","Cedar Rapids/Iowa City",Indian,4.1,25
"Shorts Burger and Shine","Cedar Rapids/Iowa City",Burger,4.9,10
"The Hamburg Inn No. 2 Inc.","Cedar Rapids/Iowa City","American, Breakfast, Burger",4.5,10
"Bluebird Diner","Cedar Rapids/Iowa City","Breakfast, Diner",3.6,25
Graze,"Cedar Rapids/Iowa City","American, International, Sushi",3.8,40
"A & A Pagliai's Pizza","Cedar Rapids/Iowa City",Pizza,4.3,25
"Atlas World Grill","Cedar Rapids/Iowa City",International,4.3,40
BlackStone,"Cedar Rapids/Iowa City","American, Breakfast",4.1,25
Devotay,"Cedar Rapids/Iowa City","Mediterranean, Tapas, Vegetarian",4,40
"Jimmy Jack's Rib Shack","Cedar Rapids/Iowa City",BBQ,4.2,25
"Zoeys Pizzeria","Cedar Rapids/Iowa City","Pizza, Sandwich",4.7,25
"Tokyo Sushi",Chatham-Kent,"Japanese, Sushi",3.7,25
"Berry Patch Restaurant",Clatskanie,"American, Breakfast, Desserts",4.3,10
"Sakura Sushi & Grill",Cochrane,"Asian, Japanese",3.1,25
"Uptown Vietnam cuisine",Columbus,"Asian, Vietnamese",3.3,10
"Cafe Le Rue @ The Landings",Columbus,"American, Seafood, Cajun",4.6,25
"Mark's City Grille",Columbus,American,4.5,25
"B Merrell's",Columbus,"Burger, Bar Food, Southern",3.8,25
"Cannon Brewpub",Columbus,"Pizza, Bar Food",3.9,25
"Fuji Japanese Steak House",Columbus,"Japanese, Steak",3.9,40
"Ruth Ann's Family Restaurant",Columbus,"Breakfast, Diner, Southern",3.7,10
"Samurai Japanese Cuisine & Sushi Bar",Columbus,"Japanese, Steak, Sushi",3.6,40
"Wasabi Sushi and Thai",Columbus,"Japanese, Sushi, Thai",3.7,40
"Buckhead Bar and Grill",Columbus,"Seafood, Steak, Vegetarian",4.2,40
"Burt's Butcher Shoppe and Eatery",Columbus,Steak,4.3,25
"Chef Lee's Peking Restaurant",Columbus,Chinese,4,25
"Country's Barbecue",Columbus,"BBQ, Southern",4,25
Deorio's,Columbus,"Italian, Pizza",4,0
"Mellow Mushroom",Columbus,Pizza,4.1,25
Meritage,Columbus,"American, Tapas",4.1,40
"Mongo The Mongolian Fire Pit",Columbus,"Asian, Chinese",4.2,10
"The Black Cow",Columbus,American,4.3,25
"Wood Stone",Columbus,"Italian, Mediterranean, Pizza",4,40
"Hunter's Pub",Columbus,"American, Seafood, Steak",4.4,40
"Consort Restaurant",Consort,"Chinese, Canadian",3,25
"Thatcher's Barbeque and Grill",Dalton,"American, BBQ, Southern",3.7,25
"Christian and Jake's Bistro",Dalton,"Desserts, Sandwich",4.4,10
"Dub's High on the Hog",Dalton,BBQ,4.4,25
"Sierra's Mexican Restaurant",Dalton,"Mexican, Tex-Mex",3.9,10
"Oakwood Cafe",Dalton,"BBQ, Breakfast, Southern",4.9,10
"Chili's Grill & Bar",Dalton,American,3.8,25
"Fuji Japanese Steakhouse",Dalton,"Japanese, Sushi",3.8,40
"Las Palmas",Dalton,Mexican,3.8,10
"Tony's Italian Restaurant & Pizza",Dalton,Italian,3.7,25
"Filling Station",Dalton,"American, Burger",4.1,10
"Five Guys Burgers and Fries",Dalton,"Fast Food",4.1,10
"Los Pablos",Dalton,Mexican,4.1,10
"Kobe Hibachi & Sushi",Dalton,"American, Japanese, Sushi",4.6,25
"Soho Hibachi",Dalton,Japanese,4.3,10
"Thai Garden",Dalton,Thai,4.2,25
"Southern Bliss Bakery",Dalton,"Desserts, Sandwich",3.7,10
"Bailey's Bar-B-Que",Dalton,BBQ,4.1,10
"Farm To Fork",Dalton,"American, Diner, Southern",4.3,10
"Home Plate Grill",Dalton,"American, BBQ, Southern",4.2,10
"Pie Slingers Pizzeria",Dalton,"Italian, Pizza",4.1,10
"Olive Tree Cafe",Davenport,"Indian, Mediterranean, Middle Eastern",4.6,25
"Red Ginger Sushi, Grill & Bar",Davenport,"Sushi, Teriyaki",4.5,40
"Crust Stone Oven Pizza",Davenport,"Burger, Pizza",3.9,25
"Jimmy's Pancake House",Davenport,"American, Breakfast, Greek",4,10
"Trattoria Tiramisu",Davenport,Italian,4.1,25
"Prairie Grille at SteepleGate Inn",Davenport,"American, Breakfast",3.4,25
"Tantra Asian Bistro",Davenport,Asian,4.9,25
Chick-fil-A,Davenport,"Fast Food",3.9,10
"Duck City Bistro",Davenport,"American, French",3.7,70
"Frick's Tap",Davenport,"American, Bar Food, BBQ",0,25
"Los Agaves",Davenport,Mexican,0,25
Azteca,Davenport,Mexican,4.3,0
"China Cafe",Davenport,Chinese,4,25
"Exotic Thai Restaurant",Davenport,Thai,4.1,25
"Front Street Brewery",Davenport,American,4.3,10
"Granite City Food & Brewery",Davenport,American,4,25
"Los Agaves",Davenport,Mexican,4.1,25
"Machine Shed Restaurant",Davenport,American,4.1,25
Osaka,Davenport,"Japanese, Sushi",4.2,40
"Texas Roadhouse",Davenport,"American, BBQ, Steak",4.2,25
"Hickory Park","Des Moines","BBQ, Burger, Desserts",4.5,25
"The Cafe","Des Moines","American, Coffee and Tea",4.9,25
"Flying Mango","Des Moines","BBQ, Caribbean, Cajun",4.5,40
"Cool Basil","Des Moines","Asian, Sushi, Thai",4.1,25
"HuHot Mongolian Grill","Des Moines","Asian, Chinese",4,25
Malo,"Des Moines","Latin American, Mexican",3.2,25
Centro,"Des Moines","Italian, Pizza",4.5,40
"Fong's Pizza","Des Moines","Chinese, Pizza",4.6,25
"A Dong Restaurant","Des Moines","Asian, Vegetarian, Vietnamese, Bubble Tea",4.4,10
"Court Avenue Brewing Company","Des Moines","American, Pizza, Bar Food",4.2,40
Django,"Des Moines",French,4.3,40
"Miyabi 9","Des Moines","Japanese, Sushi",4.8,25
"Zombie Burger + Drink Lab","Des Moines","Burger, Desserts, Vegetarian",4.2,10
"Tursi's Latin King","Des Moines","American, Italian",4.1,70
"Tsing Tsao South","Des Moines",Chinese,4.1,10
"Bandit Burrito","Des Moines","Breakfast, Mexican, Southwestern",4,10
"Jethro's BBQ","Des Moines","American, BBQ",4.3,25
"The Machine Shed Restaurant","Des Moines","American, Breakfast",3.8,25
"Mi Patria","Des Moines","Latin American",4,25
"Waterfront Seafood Market","Des Moines","Seafood, Sushi",4.2,40
"The Giggling Goat","Dicky Beach","Coffee and Tea, Tea, Modern Australian",3.6,7
"Burnt Toast Cafe",Dubuque,Breakfast,3.4,10
"Catfish Charlie's",Dubuque,Seafood,3.3,25
"Salsa's Mexican Restaurant",Dubuque,Mexican,3.4,10
"Tony Roma's",Dubuque,"American, BBQ, Seafood",3.3,25
"Vinny Vanucchi's",Dubuque,Italian,3.4,25
"Champps Americana",Dubuque,"American, Burger, Sandwich",3.5,25
"Fiesta Cancun",Dubuque,Mexican,3.6,10
"Happy Joe's Pizza & Ice Cream",Dubuque,"Desserts, Pizza, Ice Cream",3.5,0
Houlihan's,Dubuque,"American, Burger",3.6,25
"Ichiban Hibachi Steakhouse & Sushi Bar",Dubuque,"Japanese, Steak, Sushi",3.7,40
"Kalmes Breaktime Bar & Grill",Dubuque,"American, Burger",3.6,25
"L. May Eatery",Dubuque,"International, Pizza",3.8,40
"Los Aztecas",Dubuque,Mexican,3.5,10
"Manna Java World Cafe",Dubuque,"Breakfast, Pizza",3.5,10
"Mario's Italian Restaurant",Dubuque,"American, Italian",3.6,25
"Pepper Sprout Incorporated",Dubuque,American,3.6,40
"Shot Tower Inn",Dubuque,"Italian, Pizza",3.6,25
"Sunshine Family Restaurant",Dubuque,"American, Breakfast, Burger",3.5,10
"Watershed Cafe",Dubuque,"American, Burger, Pizza, Cafe",3.7,25
"Woodfire Grille",Dubuque,"American, Seafood, Steak",3.6,70
"The Belle General","East Ballina",Cafe,4.1,20
"Jehova es Mi Pastor Tacos y Burritos",Fernley,Mexican,3.7,10
"Flaxton Gardens",Flaxton,"Tea, Modern Australian",3.5,30
"Bespoke Harvest",Forrest,"Cafe, Australian",3.7,20
"Houndstooth Grill & Tavern",Gainesville,"American, Sandwich, Seafood",4.4,25
"Hawg Wild BBQ & Catfish House",Gainesville,"BBQ, Burger, Seafood",4.1,10
"Bourbon Street Grille",Gainesville,"American, Burger, Cajun",3.8,25
"Corkscrew Cafe",Gainesville,,3.9,40
"Smokin Gold BBQ",Gainesville,BBQ,3.9,10
"Hoka-Hoka Japanese Steak & Sushi",Gainesville,"Chinese, Japanese, Thai",4.4,10
"Shenanigan's Irish Pub",Gainesville,"Bar Food, Seafood, Vegetarian",4.1,25
"Fish Tales Lakeside Grille",Gainesville,Seafood,3.8,25
Antebellum,Gainesville,"American, Southern",4.3,40
"Moonie's Texas Barbecue",Gainesville,"BBQ, Sandwich",4.1,10
"Atlanta Highway Seafood Market",Gainesville,"Sandwich, Seafood, Cajun",4.9,25
"Eat at Thai",Gainesville,Thai,4.6,10
"Smoke House BBQ and Catering",Gainesville,BBQ,3.8,25
"2 Dog",Gainesville,"American, European, Sandwich",4.2,25
"Longstreet Cafe",Gainesville,Southern,4.3,10
Re-Cess,Gainesville,"American, Southern",4.2,25
Bodensee,Gainesville,German,3.8,40
"Hofer's Bakery & Cafe",Gainesville,"German, Ice Cream",3.9,10
"Troll Tavern",Gainesville,"Burger, German, Sandwich",2.2,25
"The Nacoochee Village Tavern & Pizzeria",Gainesville,"Italian, Pizza, Sandwich",4,10
"Blue Bean Love Cafe","Hepburn Springs","Cafe, Coffee and Tea, Modern Australian",3.8,20
"La Trattoria of Lavandula","Hepburn Springs","Italian, Fusion, Cafe",3.8,7
"5 Little Pigs",Huskisson,"Breakfast, Modern Australian",4.1,20
"Beach Box Cafe",Inverloch,"Burger, Coffee and Tea, Modern Australian",3.7,7
"Funkey Monkey","Lakes Entrance","Breakfast, Coffee and Tea",3.8,7
"Burger Queen Drive In",Lakeview,"Burger, Desserts, Sandwich",3.6,10
"Blue Orchid Thai Restaurant",Lincoln,Thai,4.5,25
"Stillwater on Belmore",Lorn,"Breakfast, Coffee and Tea",3.6,20
Mr.,Macedon,Cafe,3.5,20
"Emilio's Cuban Cafe",Macon,"Coffee and Tea, Cuban, Latin American",3.9,25
"Ingleside Village Pizza",Macon,"Pizza, Sandwich",4.9,10
"Jim Shaw's Seafood Grill & Bar",Macon,Seafood,4.6,25
"Mandarin Chinese Restaurant",Macon,"Chinese, Thai",4.5,25
Rookery,Macon,"Burger, Desserts, Bar Food",4.5,25
Dovetail,Macon,,3.8,40
"Bonefish Grill",Macon,"American, Seafood",4.1,40
"Downtown Grill",Macon,Steak,4,70
"Greek Corner Deli",Macon,"Desserts, Greek, Sandwich",4.3,10
Natalia's,Macon,"European, Italian, Mediterranean",4.2,70
"Papouli's Mediterranean Cafe & Market",Macon,"Greek, Mediterranean, Vegetarian",4.2,10
"Benson's Steak and Sushi",Macon,"American, Chinese, Sushi",3.7,25
"My Fathers Place",Macon,Italian,3.7,25
"Sushi Thai Restaurant",Macon,"Japanese, Sushi, Thai",3.7,10
"The Mellow Mushroom",Macon,"Pizza, Sandwich, Vegetarian",3.8,25
"El Jalisciense Mexican Restaurant",Macon,Mexican,4.1,10
"Greek Village",Macon,"American, Greek, Seafood",4,25
"Martin's BBQ",Macon,BBQ,4.2,25
"Thai Pepper",Macon,"Japanese, Sushi, Thai",4,10
"Zen Japanese Steakhouse and Sushi Bar",Macon,"Japanese, Steak, Sushi",4.1,40
"Star Buffet",Mayfield,Asian,2.9,20
"Triangle Restaurant","Mc Millan","Breakfast, Burger",2.4,10
"Three Anchors","Middleton Beach","Bar Food, Modern Australian",3.8,30
"HI Lite Bar & Lounge",Miller,,3.4,0
"Vince's Restaurant & Pizzeria",Monroe,"Italian, Pizza",3.6,25
"Poets Cafe",Montville,"Coffee and Tea, Modern Australian",2.4,30
"The Artesian Restaurant","Ojo Caliente","American, International, Southwestern",3.6,40
"Cev?che Tapas Bar & Restaurant",Orlando,"Spanish, Tapas",4.4,40
'Ohana,Orlando,Hawaiian,4.5,45
"Earl of Sandwich",Orlando,"American, Sandwich, Salad",4.7,35
"Raglan Road Irish Pub and Restaurant",Orlando,Irish,4.3,50
"Caf刺 Tu Tu Tango",Orlando,"New American, Tapas",4.6,40
"Texas de Brazil",Orlando,"Brazilian, Steak",4.6,100
"Bahama Breeze Island Grille",Orlando,Caribbean,4.3,45
"Maggiano's Little Italy",Orlando,Italian,4.4,50
"Hawkers Asian Street Fare",Orlando,"Asian, Thai",4.6,35
"Tako Cheena by Pom Pom",Orlando,"Asian, Latin American, Vegetarian",4.4,10
"Seasons 52 Fresh Grill",Orlando,American,4.4,60
"Hollerbach's Willow Tree Caf刺",Orlando,German,4.8,40
"Pom Pom's Teahouse and Sandwicheria",Orlando,"American, Sandwich, Tea",4.9,25
"Yellow Dog Eats",Orlando,"American, BBQ, Sandwich",4.9,35
"Tibby's New Orleans Kitchen",Orlando,Cajun,4.7,25
"The Coop",Orlando,"Southern, Cajun, Soul Food",3.6,25
"Bosphorous Turkish Cuisine",Orlando,"Mediterranean, Turkish",4.2,40
"Ethos Vegan Kitchen",Orlando,"American, Breakfast, Vegetarian",4.4,25
Hillstone,Orlando,,4.4,40
"The Ravenous Pig",Orlando,"Pub Food",4.4,40
"Vivo Bar and Grill","Palm Cove","Mediterranean, Seafood",4.4,30
"Pier 70",Paynesville,"Modern Australian",2.6,120
DiVine,Penola,"Cafe, Coffee and Tea, Sandwich",3.4,20
"Cactus Flower Cafe Navarre",Pensacola,"Mexican, Southwestern, Tex-Mex",4.2,25
"McGuire's Irish Pub & Brewery",Pensacola,"Burger, Bar Food, Steak",4.9,40
"New Yorker Deli & Pizzeria",Pensacola,"Italian, Pizza, Sandwich",4.6,10
"Tu-Do Vietnamese Restaurant",Pensacola,"Asian, Vietnamese",4.5,10
"Carrabba's Italian Grill",Pensacola,"Italian, Pizza, Seafood",3.7,40
"Jaco's Bayfront Bar and Grille",Pensacola,Tapas,3.9,25
"The Tin Cow",Pensacola,"Burger, Bar Food",3.7,25
"Cactus Flower Cafe",Pensacola,"Latin American, Mexican, Southwestern",4.2,25
"Dharma Blue",Pensacola,"Seafood, Sushi",4.1,40
"Global Grill",Pensacola,"European, International, Tapas",4.4,40
Ichiban,Pensacola,"Japanese, Sushi",4.3,25
"The Fish House",Pensacola,"American, Seafood, Sushi",4,40
"Tuscan Oven",Pensacola,"Italian, Mediterranean, Pizza",4.1,25
"Flounders Chowder House",Pensacola,Seafood,3.9,40
"Hemingway's Island Grill",Pensacola,"Caribbean, Seafood, Steak",3.5,40
"Native Cafe",Pensacola,"Breakfast, Burger",4.2,25
"Peg Leg Pete's",Pensacola,"Burger, Sandwich, Seafood",4.4,40
"The Grand Marlin",Pensacola,"Caribbean, Seafood",4.3,40
"Original Georgios Authentic Greek Food",Pensacola,Greek,4.7,10
"Fisherman's Corner",Pensacola,"Sandwich, Seafood, Cajun",4.4,40
"Mad Cowes Cafe","Phillip Island","Breakfast, Coffee and Tea, Modern Australian",3.7,20
"Rupes Burgers",Pocatello,"Burger, Fast Food",3.7,10
"Texas Roadhouse",Pocatello,"American, BBQ, Steak",3.5,45
"Riverwalk Cafe",Pocatello,"Asian, Thai",3.6,10
"Royal Hotel",Pocatello,"Pizza, Bar Food",3.6,0
"Buddy's Italian Restaurant",Pocatello,"Italian, Pizza, Sandwich",3.7,40
Butterburrs,Pocatello,"American, Breakfast",3.6,30
"Chang Garden",Pocatello,Chinese,3.5,10
"Fifth Street Bagelry",Pocatello,"Coffee and Tea, Sandwich",3.8,10
"Goody's Deli",Pocatello,"Pizza, Sandwich",3.8,10
"Grecian Key Restaurant",Pocatello,"American, Greek",3.7,25
"Outer Limits Fun Zone",Pocatello,"Burger, Pizza, Sandwich",3.5,10
"Portneuf Valley Brewing",Pocatello,"American, Pizza",3.7,25
"Sandpiper Restaurant & Lounge",Pocatello,"American, Seafood, Steak",3.6,40
